amfi_code,cagr_1yr,cagr_3yr,cagr_5yr
100016,-0.021402903486672065,0.012445994939421334,0.02541247901047594
100025,0.035610696428827415,0.03769015761043071,0.04294835392228946
100033,0.5075653358780363,0.3107480621658334,0.2889938363919464
101206,0.4572999736945471,0.2776134494174203,0.2260478728480142
101207,-0.23186163162130335,-0.04002093178088584,0.07643258410637976
101208,0.06951057052080989,0.060755167621195705,0.06268273663284529
102885,0.19366222647686215,0.18876151419397846,0.17523902033263883
102886,-0.16211444869700753,-0.007391613158953203,0.011294595778247984
102887,0.13032318413527744,0.24504995437428234,0.1619032513637435
118632,0.32493443741776074,0.2173066181637049,0.23093815872659618
118633,0.24454828099922432,0.20236951351005872,0.15646763057250346
118634,0.1516417833418604,0.07700989417149118,0.15741939944838035
118635,0.2154833456704246,0.19202314412666044,0.1534278656877741
118636,0.10036522012510929,0.03909241240919248,0.05121284370964796
119092,0.015472292800278176,0.00506410336429286,0.06132601469068821
119093,0.18945029829943794,0.1997568152855702,0.0760363867836038
119094,0.21326750293349406,0.3361804922735321,0.27075969436673986
119095,-0.41564987360815053,-0.11298787971621704,0.014665053142173479
119120,0.05305739305375479,0.056186515164248885,0.05672188795478972
119551,0.5756848841923499,0.2918145991652894,0.2477256161793966
119552,0.05482448166686016,0.15621784755976686,0.2067704837427602
119598,0.7861683425540309,0.2556843144917498,0.3109566423737362
119599,0.13381345873925277,-0.012882996299400817,0.01980032242102303
120503,0.08152215287087339,0.13428793488877178,0.1805376677189634
120504,0.125356431533042,0.3111766658791899,0.22372037579730364
120505,0.28328204567572834,0.3044100167352506,0.31481115319403674
120506,0.39940419337969946,0.176845877347511,0.16424007349244585
120507,0.07131782819276045,0.07111635011762973,0.06968969623013832
120841,0.16145220634042046,0.1657924982681238,0.13016300746880094
120842,0.21556668146960556,0.07459051034615816,0.06453456071586094
120843,0.2551982405863149,0.28348105787785727,0.2964834751553347
120844,0.06839470223790256,0.06440807204457721,0.0665902917581922
125497,0.27443054566322855,0.1769654338000204,0.18276505948757582
125498,0.1481265752919816,0.10808126685493424,0.10874958686292713
148567,0.1951232472805533,0.32559869001005803,0.29711989696020824
148568,0.13689107965575475,0.14166348167302956,0.21627249243585345
148569,0.37977827454267166,0.2796284072275892,0.3064321514596229
149322,0.17363137855877997,0.17322998505102905,0.12882957123240346
149323,0.20582313615268855,0.257594281513873,0.2838164635295859
149324,0.6200710718376752,0.25883943330562165,0.3096576580257808
